District,Year,Yield,Rainfall,Temperature,Humidity,Sunlight,Soil_Moisture,Soil_Type,Pest_Risk,PFJ_Policy,Yield_Lag1,Growing_Degree_Days,Water_Availability,Climate_Stress,Moisture_Temp_Ratio,Rainfall_per_Sun,Years_Since_PFJ,Yield_Change,Yield_Growth_Rate,Rainfall_Temp_Ratio,Moisture_Heat_Index,Water_Availability_Index,Drought_Indicator,Heat_Stress_Indicator,Rainfall_Anomaly,Temperature_Anomaly
Bunkpurugu/Yunyoo,2018,2.25,0.9173796086146486,0.9027040133855965,-0.7909952147232994,1.31403581461109,-0.6312100462175262,Savanna Ochrosol,-0.49470617805705996,0.9832189445227664,0.14975832831569885,1.1933312481668674,0.26935938127073666,0.7677853286461572,-0.750711608046812,0.4044044160338106,-0.006248934931401874,0.36898540055125784,0.07953476197346569,0.6976569674077718,-0.4304807275588026,0.9168358460329926,1.0973891185182554,-1.0040371581205207,-0.5957385811185277,-0.23330215621361386
Bole,2012,1.38,0.04711373312446591,-0.11071769277653323,-0.4011563486933467,0.3964363820042334,0.18764720382626732,Savanna Ochrosol,-0.49470617805705996,-1.0170674655637142,-0.9676888233414725,0.19362986041825433,0.10277221263951147,0.14018274097070713,0.15632001688926664,-0.09738628708219398,-0.7112424121922832,-0.5160248940994937,-0.3757871829761191,0.06035817730884918,0.21205253621897582,0.047220153051845404,-0.9112537960557195,-1.0040371581205207,1.4086743717651946,-3.1950492321043904
Adansi South,2011,1.0,0.8396566376433656,-1.2836372099139723,1.22353422714271,-1.1750313877050902,1.3226824312001364,Forest Ochrosol,-0.49470617805705996,-1.0170674655637142,-0.8559441081757553,-1.2167649053051734,1.3822692537281542,-1.1591702796952648,1.466085124007414,1.2819146600717177,-0.7112424121922832,-1.9582638927896074,-1.294044082363271,1.1182683407196068,1.0667841948730343,0.8403191186762166,-0.9112537960557195,-1.0040371581205207,0.9279566460345243,-1.170296075226323
Jomoro,2013,1.29,-1.0387619252352642,-1.1290119152058913,0.6257111680506454,-1.4925165918473273,-0.35364366519734386,Forest Ochrosol,-0.49470617805705996,-1.0170674655637142,-1.2656747304500513,-1.3619395392719726,-0.94164718148182,-0.8061653060088627,-0.0610909012473989,-0.5901138049606561,-0.7112424121922832,-0.286577780671521,-0.2200185341321224,-0.8500312604747065,-0.7560977837594536,-1.0387984400404005,1.0973891185182554,-1.0040371581205207,-2.196780508621825,-0.059146272040009745
Ho,2018,2.25,-0.9813204300515841,-0.04756001356589512,0.09648092707620053,-0.04288796876732407,-0.6071688636094785,Tropical Black Earth,-0.49470617805705996,0.9832189445227664,0.14975832831569885,-0.06765950722907797,-1.0052156152757148,-0.14282912200884298,-0.5311484663971326,-0.9524477851632217,-0.006248934931401874,0.36898540055125784,0.07953476197346569,-0.9643877230280968,-0.7005400449020945,-0.9815216375020092,1.0973891185182554,-1.0040371581205207,-0.0888066644522496,-0.06976409984902841
Nkwanta North,2016,1.31,2.5596091562704544,0.5983259402366593,0.19388408618088585,-0.22021353417613393,0.1759908728647889,Tropical Black Earth,2.021401883290528,-1.0170674655637142,-1.3215470880329099,0.049995713047912844,2.003650572477223,0.021541876153938228,-0.022683679386346287,2.567293682059654,-0.7112424121922832,-0.12268698536582621,-0.09351366997013145,2.3397015872475397,0.4481222979399988,2.5592745881448176,-0.9112537960557195,0.9959790749895374,1.6065325479683603,0.2565001125577106
Tano North,2011,1.82,0.22576767252868343,-1.1102619791902306,0.7976796070087874,-1.0430608514594586,-0.08554805308336122,Forest Ochrosol,-0.49470617805705996,-1.0170674655637142,0.4477442354242781,-1.0766642763173848,0.0927527455180611,-0.8897195662709005,0.17071254176238515,0.5851092303018054,-0.7112424121922832,-1.5649259840559406,-0.7885238204984686,0.44544970848112153,-0.44813668872859486,0.2256764598797871,-0.9112537960557195,-1.0040371581205207,0.3976580607929087,-1.0801424892907907
Ahafo Ano South,2017,2.04,0.33928949002439157,-0.667603127925817,0.3158444695819687,-0.9395421969342433,-0.014881546629403546,Forest Ochrosol,2.021401883290528,0.9832189445227664,-1.0421853001186174,-0.8612089309172337,0.2144172083916428,-0.48207121207155085,0.12060221459831122,0.6616534561491212,-0.7112424121922832,1.7784462401802337,1.194541160150619,0.4654700740188885,-0.21666838511397474,0.3392218146199248,-0.9112537960557195,0.9959790749895374,0.6892363574396627,0.7998203256382354
Amenfi West,2011,1.4,0.8193071032121804,-1.2674160481635801,1.2517111252184014,-1.673254283292715,1.0808135637494778,Forest Ochrosol,-0.49470617805705996,-1.0170674655637142,-1.0235611809243312,-1.5187087108599457,1.2206696848936005,-1.167616937595728,1.2463834809344352,1.4923229021909101,-0.7112424121922832,-0.35213409879379887,-0.2669391846760971,1.0932443777792873,0.8028810883373293,0.8198254410131016,-0.9112537960557195,-1.0040371581205207,0.20361889498801755,-0.5427080093786996
Komenda Edina Eguafo Abirem,2011,1.59,0.26701121053971383,-0.5955022226550777,0.9577370569369364,-1.568108307119288,1.9972925855956438,Forest Ochrosol,-0.49470617805705996,-1.0170674655637142,-0.7628235122043243,-1.2354350802069172,1.2434901174387616,-0.8035793636571102,1.8409091799312478,0.8451668147484048,-0.7112424121922832,-0.1882433034881041,-0.16336367011796463,0.3773559829040818,2.122539364552817,0.26818441860301245,-0.9112537960557195,-1.0040371581205207,0.1637815576024693,-0.3117996396650817
Garu Tempane,2020,2.58,0.7123189155003982,1.3895855755816753,-1.31512397796505,1.394299517840834,-0.8585084999663356,Savanna Ochrosol,-0.49470617805705996,0.9832189445227664,1.0623401688357215,1.4433964433425275,-0.0019863201494558485,1.3353002332523838,-1.0294141412172775,0.1973453673927451,1.4037380195903608,-0.15546514442696452,-0.18237560116765966,0.4058436433755618,-0.5604649517039951,0.7116718016815006,-0.9112537960557195,-1.0040371581205207,0.36308814020853875,-0.2951676547760775
Nkwanta South,2015,1.34,-0.2112368779149285,-0.7732565502772105,0.058825008290982896,0.15228564052514032,-0.025080836220696547,Tropical Black Earth,-0.49470617805705996,-1.0170674655637142,-1.0421853001186174,-0.2095612613049144,-0.19766314154591857,-0.3719194815974274,0.1382020055235748,-0.26689714501075756,-0.7112424121922832,-0.516024894099493,-0.379532376281797,-0.06952691048617075,-0.2645718027616755,-0.2112157117994446,1.0973891185182554,0.9959790749895374,-2.074322393213837,1.2051631941133045
Afigya Kwabre,2015,1.59,-0.5746019760022112,-0.980862749713749,0.5990726313311566,-0.8345537035009646,-0.053493142939298036,Forest Ochrosol,-0.49470617805705996,-1.0170674655637142,-1.0421853001186174,-0.9026229308867509,-0.4788202152163801,-0.7425957073712905,0.1658780201954053,-0.31538413714778146,-0.7112424121922832,0.3034290824289806,0.1826367438726374,-0.4001549751601365,-0.3678786375529213,-0.574535407215237,1.0973891185182554,-1.0040371581205207,-0.3977263167658089,-0.5501783630155718
Akuapim North,2018,2.25,-0.6507595981710952,-0.6286229977880011,0.7488931913522389,-0.08981782533199997,0.7529792554579238,Forest Ochrosol,-0.49470617805705996,0.9832189445227664,0.14975832831569885,-0.30945320946395277,-0.17659116997288665,-0.7051679951863091,0.775091801986997,-0.6187400587303284,-0.006248934931401874,0.36898540055125784,0.07953476197346569,-0.5401148199165848,0.6787197709502925,-0.6501875387826709,-0.9112537960557195,-1.0040371581205207,0.19967832369366112,-0.46857911559773957
A.M.A,2020,2.58,-0.1259593975059822,-0.4222503467735554,0.8727312805263303,0.14168180268838118,1.9717943616174132,Coastal Savannah,-0.49470617805705996,0.9832189445227664,1.0623401688357215,-0.08644799812436871,0.859417616716858,-0.702596492732883,1.7644757317974669,-0.1820468892055173,1.4037380195903608,-0.15546514442696452,-0.18237560116765966,-0.051416580571015204,2.16898802923693,-0.12473389531921303,-0.9112537960557195,-1.0040371581205207,0.7073965561836372,-0.33164439902033216
Abura Asebu Kwamankese,2019,2.53,0.7541069226600894,-0.7730715180138948,1.3410605101641586,-1.0727201008543605,1.397720061764648,Forest Ochrosol,-0.49470617805705996,0.9832189445227664,0.5408648313957087,-0.9811127399804983,1.3514206582426043,-1.0532519786010242,1.3759846483756166,1.1471397905835794,0.6987445423294795,0.5984325139792301,0.14726329465954288,0.9084103383838993,1.3600605970117237,0.7548299862504146,-0.9112537960557195,0.9959790749895374,0.8134322940962955,0.4276282397648911
Tema,2014,1.23,-0.93572113885127,-0.1949073725836853,0.6562408540828774,-0.8422178635215937,1.4698436095887886,Coastal Savannah,-0.49470617805705996,-1.0170674655637142,-1.3029229688386237,-0.6370130095235245,-0.1120989238323704,-0.5114243202440922,1.2673678413010356,-0.6828113146790505,-0.7112424121922832,-0.4176904169160768,-0.31956172597000176,-0.8964729180058981,1.681529983359729,-0.9346622357731647,1.0973891185182554,0.9959790749895374,-0.3387172163576584,0.46265531748167493
Sekyere South,2019,2.53,-0.41323493206796347,-0.15395356497054097,0.09746502588494516,-0.5574365750838243,-0.5474301674319059,Forest Ochrosol,-0.49470617805705996,0.9832189445227664,0.5408648313957087,-0.43893014001876135,-0.5915323481763811,-0.18018312935831907,-0.45712044494975224,-0.241530694817562,0.6987445423294795,0.5984325139792301,0.14726329465954288,-0.3863564149548019,-0.6640996807193081,-0.41349777018646333,-0.9112537960557195,0.9959790749895374,0.2090630469002128,0.3885242470242196
Asikuma Odoben Brakwa,2017,2.04,1.3232813589410306,-0.9563768135354019,1.3893152862343705,-0.7625315970057359,1.7219117666307402,Forest Ochrosol,2.021401883290528,0.9832189445227664,1.602439625470021,-0.8491732981259829,2.0638516522102486,-1.134884639111813,1.7156439835693074,1.5944437122790396,-0.7112424121922832,-2.8760523465014978,-1.115688953162369,1.5322918754126833,1.6522234018339166,1.324104048403326,-0.9112537960557195,-1.0040371581205207,1.5487365031871387,-0.21281092394750678
